x,y
1A,4B
1A,1A
1A,1A
1A,3A
1A,2A
1A,4B
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,2B
1A,1B
1A,2A
1A,4A
1A,1A
1A,1A
1A,Teachers
1A,Teachers
1A,1A
1A,1A
1A,3A
1A,1A
1A,1A
1A,2B
1A,1B
1A,3A
1A,1B
1A,2A
1A,1A
1A,2A
1A,3B
1A,5B
1A,2B
1A,2A
1A,2A
1A,3A
1A,3A
1A,1A
1A,4B
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,5B
1A,1A
1A,5B
1A,1A
1A,4B
1A,1A
1A,3A
1A,1A
1A,4B
1A,1A
1A,1A
1A,1A
1A,4B
1A,1B
1A,1A
1A,1A
1A,Teachers
1A,1A
1A,1B
1A,1A
1A,3A
1A,1A
1A,1A
1A,1A
1A,3A
1A,4B
1A,1B
1A,2A
1A,3B
1A,2A
1A,3A
1A,2B
1A,1A
1A,5B
1A,3A
1A,3A
1A,1A
1A,5B
1A,5A
1A,3B
1A,1A
1A,1A
1A,5A
1A,1A
1A,1A
1A,3B
1A,2A
1A,2A
1A,3B
1A,1A
1A,4B
1A,1A
1A,3B
1A,4B
1A,4B
1A,1A
1A,1A
1A,3B
1A,2A
1A,2B
1A,1A
1A,1B
1A,1B
1A,4A
1A,1B
1A,1A
1A,1A
1A,1A
1A,1B
1A,3B
1A,Teachers
1A,1A
1A,1B
1A,1B
1A,3B
1A,2A
1A,1A
1A,3A
1A,2B
1A,1A
1A,1A
1A,3A
1A,1A
1A,1B
1A,1B
1A,4B
1A,4B
1A,2A
1A,2B
1A,1B
1A,5B
1A,1B
1A,2A
1A,3B
1A,3B
1A,2B
1A,3B
1A,3B
1A,2B
1A,3B
1A,2A
1A,3A
1A,2A
1A,3A
1A,3A
1A,1A
1A,5A
1A,3B
1A,1B
1A,5A
1A,1B
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1B
1A,1B
1A,2A
1A,1A
1A,4B
1A,1A
1A,1A
1A,3B
1A,1A
1A,4A
1A,5B
1A,5A
1A,1A
1A,Teachers
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,3B
1A,2A
1A,4B
1A,2A
1A,5B
1A,4B
1A,3A
1A,1A
1A,3A
1A,3B
1A,1B
1A,1A
1A,1A
1A,2B
1A,1A
1A,1A
1A,3B
1A,1B
1A,2A
1A,1A
1A,1A
1A,3A
1A,1A
1A,4A
1A,1A
1A,1B
1A,1B
1A,Teachers
1A,1A
1A,1A
1A,3B
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,1A
1A,3A
1A,4B
1A,4B
1A,2B
1A,4B
1A,1A
1A,2A
1A,Teachers
1A,2A
1A,4A
1A,1B
1A,1A
1A,1A
1A,5B
1A,Teachers
1A,1A
1A,1B
1A,1A
1A,1A
1A,1A
