Id,Label,timeset,0,1,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Degree,eigencentrality,modularity_class
1789,1A,,1A,M,8,0.267202,0.31517,13.653712,10.680025,7,0.170257,1
1780,3A,,3A,M,5,0.327247,0.37525,1284.000307,20.22379,12,0.138291,2
1782,3A,,3A,M,7,0.237271,0.266289,6.054294,7.607541,4,0.023943,2
1783,1A,,1A,M,8,0.275089,0.330906,132.05356,17.341405,11,0.222237,1
1787,1A,,1A,F,8,0.277712,0.35069,83.481132,28.57118,15,0.454879,1
1546,4A,,4A,F,7,0.2838,0.331269,49.282008,18.473447,12,0.214579,8
1774,1A,,1A,F,8,0.252165,0.313576,71.487582,14.179652,9,0.199712,1
1545,4A,,4A,M,6,0.278375,0.311731,0.333766,13.354524,7,0.147021,8
1836,4B,,4B,M,8,0.21086,0.239638,31.020079,5.740247,4,0.014675,9
1770,1A,,1A,F,9,0.220644,0.261181,3.356865,6.177871,4,0.053318,1
1772,1A,,1A,F,7,0.29125,0.355089,480.335314,21.679917,13,0.248686,1
1838,3A,,3A,M,7,0.312752,0.372788,1023.31652,22.286528,13,0.210539,2
1779,1B,,1B,M,8,0.2463,0.303132,23.634775,20.204209,11,0.433402,0
1778,1A,,1A,F,8,0.252711,0.293077,1.73292,6.630721,4,0.096327,1
1548,4A,,4A,M,6,0.281062,0.318526,18.129302,15.613162,9,0.177558,8
1549,4A,,4A,M,6,0.316576,0.361159,350.302456,15.056078,10,0.202095,8
1775,1A,,1A,Unknown,8,0.29125,0.362666,260.34023,25.737943,15,0.411345,1
1695,1B,,1B,F,8,0.273154,0.356811,151.227521,38.080383,19,0.825673,0
1468,5A,,5A,M,8,0.22888,0.276027,43.15352,12.24843,8,0.101572,4
1674,1B,,1B,F,7,0.319616,0.392029,1202.797294,31.522036,19,0.758503,0
1675,1B,,1B,F,8,0.279376,0.358946,102.177799,37.243735,21,0.920644,0
1670,1B,,1B,F,8,0.271246,0.329261,21.035181,17.588154,12,0.56995,0
1673,1B,,1B,M,8,0.288366,0.371178,423.534588,33.897069,21,0.839613,0
1551,3B,,3B,M,6,0.314865,0.368169,1776.198481,24.056832,14,0.195189,7
1798,1A,,1A,M,8,0.247872,0.291278,32.141124,10.158972,6,0.080759,1
1759,1A,,1A,M,8,0.261211,0.320616,16.128509,17.530398,10,0.249177,1
1792,1A,,1A,M,7,0.315718,0.379512,937.290732,24.154467,15,0.388061,1
1697,1B,,1B,M,8,0.282424,0.36517,139.544415,41.691912,23,1,0
1790,1A,,1A,F,7,0.278708,0.311414,34.096112,3.846624,3,0.075162,1
1797,4A,,4A,M,6,0.307794,0.358727,359.804575,21.52848,13,0.242285,8
