Id,Label,timeset,0,1,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Degree,Weighted Degree,eigencentrality
1789,,,1A,M,0.733333,11,7,0.266212,0.305505,17.90324,0,6,12.089808,0.06444
1780,,,3A,M,0.298246,51,7,0.307895,0.386416,1442.697183,10,19,33.002614,0.561601
1782,,,3A,M,0.318681,29,8,0.269585,0.356858,197.581937,10,14,23.870264,0.453134
1783,,,1A,M,0.345455,19,6,0.321429,0.367236,1845.351025,0,11,17.791255,0.135029
1787,,,1A,F,0.4,4,7,0.248408,0.278154,21.300978,0,5,7.928427,0.035061
1546,,,4A,F,0.392857,11,7,0.242236,0.29533,98.75278,7,8,13.620692,0.064579
1774,,,1A,F,0.2,2,8,0.233766,0.272039,30.346133,0,5,6.540681,0.034862
1574,,,3B,F,0.736264,67,8,0.254625,0.32616,27.477608,2,14,28.173785,0.444518
1545,,,4A,M,0.422222,19,7,0.271462,0.328246,306.216826,7,10,19.019629,0.129809
1836,,,4B,M,0,0,8,0.186901,0.212251,79.785053,7,3,4.451393,0.005424
1770,,,1A,F,0.833333,5,8,0.239264,0.278439,0.360859,0,4,6.125758,0.046528
1772,,,1A,F,0.166667,1,8,0.223923,0.258293,5.543155,0,4,6.311699,0.026695
1838,,,3A,M,0.286765,39,7,0.280912,0.364306,861.531848,10,17,28.665918,0.524542
1779,,,1B,M,0.512821,40,6,0.29471,0.34067,35.007276,1,13,24.399487,0.363095
1778,,,1A,F,0.333333,2,8,0.253796,0.305932,38.884906,0,4,5.522606,0.082607
1548,,,4A,M,0.263736,24,7,0.277251,0.349328,646.410521,7,14,24.066585,0.172698
1549,,,4A,M,0.3,3,6,0.267123,0.306339,59.689949,7,5,8.179187,0.070616
1775,,,1A,Unknown,0.5,5,8,0.240493,0.282713,8.100708,0,5,7.759418,0.053429
1695,,,1B,F,0.333333,51,6,0.322314,0.388462,945.567519,1,18,35.693857,0.484877
1468,,,5A,M,0.418301,64,6,0.305483,0.371225,1389.539972,5,18,29.880031,0.355594
1674,,,1B,F,0.555556,25,6,0.295828,0.340171,18.318678,1,10,16.674474,0.281833
1675,,,1B,F,0.536842,102,6,0.317073,0.379131,250.435893,1,20,39.283887,0.601607
1670,,,1B,F,0.454545,25,6,0.266515,0.317023,10.437576,1,11,15.997257,0.313136
1673,,,1B,M,0.326316,62,5,0.366771,0.424858,5840.620324,1,20,31.141101,0.598009
1551,,,3B,M,0.347619,73,8,0.266819,0.363197,190.527864,2,21,34.296512,0.66867
1799,,,1A,Unknown,0,0,8,0.220963,0.249389,1.317364,0,2,2.687279,0.016403
1798,,,1A,M,0.6,6,8,0.24477,0.28955,17.388498,0,5,6.550492,0.054636
1759,,,1A,M,0.333333,15,8,0.251343,0.309493,62.367876,0,10,17.039952,0.100448
1792,,,1A,M,0.363636,24,7,0.278903,0.334208,157.670981,0,12,18.074329,0.112997
1697,,,1B,M,0.426316,81,6,0.314516,0.379345,508.996406,1,20,39.318622,0.556905
1790,,,1A,F,0.242424,16,7,0.299616,0.365904,691.908547,0,12,19.14719,0.289028
1797,,,4A,M,0.254545,14,8,0.238047,0.310628,286.037631,7,11,18.630614,0.110231
1796,,,1A,F,0.8,8,7,0.259136,0.29247,8.589763,0,5,7.929736,0.046504
1795,,,3A,F,0.414286,87,8,0.265909,0.36106,124.745881,10,21,34.206826,0.601991
1560,,,3B,F,0.67619,71,8,0.256298,0.331146,30.583109,2,15,26.098888,0.497943
1493,,,5A,F,0.512821,40,7,0.264706,0.328246,99.166876,5,13,21.09548,0.260586
1495,,,5A,M,0.422222,19,7,0.249201,0.299298,28.940721,5,10,14.027251,0.166718
1800,,,3A,F,0.619048,13,9,0.219925,0.282124,2.824069,10,7,9.980967,0.192067
1498,,,5A,M,0.458333,55,7,0.259424,0.328032,101.107877,5,16,26.585531,0.296251
1555,,,3B,F,0.558824,76,8,0.257709,0.337556,57.175525,2,17,29.649579,0.523988
1700,,,3B,F,0.433824,59,7,0.305882,0.380006,767.740381,2,17,31.669901,0.567603
1702,,,2B,F,0.666667,14,8,0.235412,0.299618,5.297273,3,7,13.432854,0.180606
1552,,,3B,F,0.426901,73,8,0.268349,0.361488,273.114405,2,19,29.017042,0.618466
1704,,,2B,M,0.438095,46,8,0.265607,0.349735,126.001294,3,15,23.377577,0.410396
1705,,,4A,M,0.488889,22,7,0.272093,0.328246,144.378146,7,10,18.366113,0.133201
1706,,,2B,F,0.642857,18,7,0.264706,0.320401,14.682752,3,8,15.460946,0.230439
1707,,,3B,M,0.411765,63,8,0.26,0.344322,65.042248,2,18,30.306373,0.570184
1708,,,2B,M,0.22381,47,7,0.314516,0.400305,1009.699301,3,21,35.008071,0.577639
1558,,,3B,M,0.328571,69,8,0.267123,0.364265,516.017584,2,21,36.827596,0.625783
1821,,,4B,F,0.428571,9,7,0.234469,0.280301,334.013429,7,7,13.225246,0.044921
1820,,,3A,M,0.444444,20,8,0.236125,0.307596,16.203923,10,10,16.736933,0.285046
1822,,,3A,M,0.411765,63,8,0.262626,0.35002,181.371049,10,18,32.820847,0.522609
1579,,,3B,M,0.368421,63,7,0.302326,0.381217,840.181885,2,19,36.477754,0.667344
1698,,,1B,M,0.467532,108,6,0.3241,0.390242,1317.427813,1,22,40.243961,0.614759
1668,,,Teachers,Unknown,0.582418,53,7,0.252973,0.313187,20.252843,5,14,19.805194,0.274727
1666,,,1B,M,0.558824,76,6,0.320548,0.382977,426.969668,1,17,33.634275,0.542799
1665,,,1B,M,0.571429,52,6,0.287823,0.342521,31.16315,1,14,31.389809,0.417899
1664,,,1B,M,0.402597,93,6,0.324549,0.39651,1275.949198,1,22,40.316446,0.625293
1663,,,1B,F,0.533333,64,6,0.306283,0.359117,59.789518,1,16,30.628468,0.454764
1661,,,1B,F,0.626374,57,6,0.302717,0.35349,22.261825,1,14,25.64216,0.444456
1920,,,1B,F,0.733333,11,6,0.264706,0.301638,3.504495,1,6,12.089506,0.164573
1482,,,5B,M,0.381818,21,8,0.230997,0.299802,100.775016,5,11,17.614023,0.169782
1922,,,2A,F,0.515152,119,6,0.322314,0.39359,425.063,4,22,37.820682,0.863552
1480,,,5B,F,0.363636,24,7,0.25,0.320757,195.645298,5,12,20.205574,0.14012
1486,,,5B,M,0.290909,16,7,0.261161,0.323474,288.962298,5,11,19.109358,0.164491
1709,,,Teachers,Unknown,0,0,9,0.197635,0.247322,10.319642,2,3,5.058868,0.052644
1489,,,5B,F,0.8,12,7,0.232143,0.275885,0.688095,5,6,9.71497,0.074185
1713,,,2B,F,0.555556,20,8,0.235176,0.300687,12.179159,3,9,17.152056,0.215541
1712,,,3B,F,0.516484,47,8,0.257143,0.331502,60.540935,2,14,17.965303,0.442921
1711,,,1A,F,0.380952,8,8,0.247357,0.297385,46.743588,0,7,10.238547,0.072487
1710,,,2B,M,0.9,9,8,0.253796,0.309778,0.305079,3,5,6.473763,0.183773
1715,,,2B,F,0.533333,8,7,0.246316,0.293661,9.247759,3,6,9.700662,0.12366
1714,,,3A,M,0.444444,16,8,0.251343,0.313482,80.262717,10,9,13.450207,0.261181
1851,,,2B,M,0.246154,80,7,0.288533,0.394689,839.705475,3,26,39.42266,0.65867
1719,,,3A,F,0.425,51,8,0.262626,0.346815,166.326872,10,16,31.219225,0.457966
1718,,,2B,F,0.315789,54,6,0.325,0.397578,1106.146856,3,19,34.801797,0.56722
1854,,,2B,F,1,3,8,0.231913,0.283949,0,3,3,5.510979,0.093489
1855,,,2B,M,0.410256,32,7,0.275294,0.351028,97.794035,3,13,23.94282,0.397724
1857,,,4B,F,0.392857,11,7,0.235887,0.284788,386.942636,7,8,13.725762,0.056099
1524,,,4A,F,0,0,7,0.219101,0.245157,0,7,1,2.363612,0.01191
1525,,,4A,M,0.666667,2,8,0.221591,0.260211,1.55756,7,3,3.700035,0.028552
1520,,,5A,F,0.428571,39,6,0.301158,0.357692,855.630594,5,14,23.179125,0.300794
1521,,,Teachers,Unknown,0,0,9,0.156522,0.169974,0,7,1,1.283301,0.001399
1522,,,5A,M,0.694444,25,7,0.252155,0.303571,15.193088,5,9,15.338754,0.194918
1653,,,Teachers,Unknown,0.333333,2,7,0.234234,0.274318,19.828018,7,4,5.396484,0.036904
1650,,,Teachers,Unknown,0.589744,46,7,0.27052,0.340344,52.89621,3,13,18.917268,0.375728
1656,,,1B,M,0.318182,21,6,0.304291,0.358689,399.865765,1,12,23.050789,0.299925
1749,,,2B,F,0.339869,52,7,0.274326,0.355159,281.391363,3,18,32.572091,0.439657
1630,,,4B,M,0,0,8,0.191646,0.21567,27.839307,5,2,2.676876,0.004258
1833,,,3A,M,0.347368,66,8,0.263811,0.355718,151.522435,10,20,36.382099,0.588536
1831,,,4B,F,0.2,2,8,0.194352,0.231197,85.445588,7,5,6.293912,0.01352
1805,,,4B,M,0,0,9,0.162275,0.187047,10.602331,7,3,3.473191,0.004984
1837,,,4A,M,0.327273,18,7,0.279904,0.347619,617.42978,7,11,20.806495,0.197446
1437,,,5B,F,0.304094,52,7,0.274648,0.353388,654.932309,5,19,30.327798,0.264174
1647,,,2A,M,0.566667,119,6,0.311585,0.378704,253.484085,4,21,35.6696,0.813153
1435,,,5B,M,0.4,4,8,0.214876,0.256191,11.986692,5,5,8.69866,0.039185
1641,,,2A,F,0.533333,56,5,0.341108,0.390598,2873.057972,4,15,25.113544,0.606484
1643,,,2A,F,0.392857,11,7,0.274971,0.338309,42.969649,4,8,13.850643,0.326228
