Source,Target,Type,Id,Label,timeset,Weight,2,3,Calc Weight
1789,1780,Undirected,4178,,,-1,20,1,0.1
1789,1783,Undirected,4226,,,1.824125834,580,23,66.7
1789,1787,Undirected,4236,,,-0.397940009,40,2,0.4
1789,1922,Undirected,4239,,,-1,20,1,0.1
1789,1774,Undirected,4119,,,0.77815125,200,6,6
1789,1908,Undirected,4250,,,0.255272505,120,3,1.8
1789,1907,Undirected,4254,,,-1,20,1,0.1
1789,1775,Undirected,4129,,,0.204119983,80,4,1.6
1789,1738,Undirected,3491,,,-0.397940009,40,2,0.4
1789,1711,Undirected,3070,,,-0.045757491,60,3,0.9
1789,1837,Undirected,4246,,,-1,20,1,0.1
1789,1772,Undirected,4102,,,-1,20,1,0.1
1789,1617,Undirected,1393,,,-1,20,1,0.1
1789,1778,Undirected,4149,,,0.556302501,240,3,3.6
1789,1548,Undirected,184,,,-1,20,1,0.1
1789,1759,Undirected,3838,,,1.537819095,460,15,34.5
1789,1749,Undirected,3654,,,-1,20,1,0.1
1789,1757,Undirected,3811,,,2.654369091,1920,47,451.2
1789,1674,Undirected,2310,,,-1,20,1,0.1
1789,1753,Undirected,3762,,,-0.045757491,60,3,0.9
1789,1752,Undirected,3739,,,0.477121255,120,5,3
1789,1673,Undirected,2282,,,-0.397940009,40,2,0.4
1789,1799,Undirected,4242,,,-0.397940009,40,2,0.4
1789,1798,Undirected,4241,,,-0.045757491,60,3,0.9
1789,1579,Undirected,937,,,-1,20,1,0.1
1789,1833,Undirected,4245,,,-0.397940009,40,2,0.4
1789,1792,Undirected,4238,,,2.144574208,900,31,139.5
1789,1790,Undirected,4256,,,0.204119983,80,4,1.6
1789,1796,Undirected,4240,,,2.382377303,1340,36,241.2
1789,1919,Undirected,4257,,,-1,20,1,0.1
1789,1465,Undirected,4248,,,-1,20,1,0.1
1789,1911,Undirected,4252,,,-1,20,1,0.1
1789,1859,Undirected,4251,,,-1,20,1,0.1
1789,1916,Undirected,4253,,,-1,20,1,0.1
1789,1641,Undirected,1634,,,-1,20,1,0.1
1789,1625,Undirected,1476,,,-0.698970004,40,1,0.2
1789,1656,Undirected,1903,,,-1,20,1,0.1
1789,1628,Undirected,1554,,,-1,20,1,0.1
1789,1722,Undirected,3308,,,-1,20,1,0.1
1789,1809,Undirected,4243,,,-0.397940009,40,2,0.4
1789,1822,Undirected,4244,,,-1,20,1,0.1
1789,1680,Undirected,2392,,,-1,20,1,0.1
1789,1768,Undirected,4077,,,0.477121255,120,5,3
1789,1457,Undirected,4247,,,-1,20,1,0.1
1789,1532,Undirected,4255,,,-1,20,1,0.1
1789,1851,Undirected,4249,,,-0.045757491,60,3,0.9
1789,1760,Undirected,3841,,,-1,20,1,0.1
1789,1761,Undirected,3891,,,1.546542663,440,16,35.2
1789,1766,Undirected,4007,,,-0.22184875,60,2,0.6
1789,1767,Undirected,4038,,,0.69019608,140,7,4.9
1789,1764,Undirected,3949,,,0.176091259,100,3,1.5
1780,1718,Undirected,3193,,,-1,20,1,0.1
1780,1783,Undirected,4176,,,-1,20,1,0.1
1780,1820,Undirected,4162,,,0.698970004,200,5,5
1780,1483,Undirected,4170,,,-0.397940009,40,2,0.4
1780,1887,Undirected,4174,,,0.301029996,100,4,2
1780,1486,Undirected,4172,,,-0.397940009,40,2,0.4
1780,1908,Undirected,4179,,,-1,20,1,0.1
1780,1909,Undirected,4180,,,1.753583059,540,21,56.7
1780,1720,Undirected,3268,,,1.847572659,640,22,70.4
1780,1628,Undirected,1548,,,-1,20,1,0.1
1780,1902,Undirected,4177,,,0.301029996,100,4,2
1780,1858,Undirected,4168,,,-1,20,1,0.1
1780,1712,Undirected,3089,,,-1,20,1,0.1
1780,1710,Undirected,3039,,,-0.397940009,40,2,0.4
1780,1837,Undirected,4165,,,-1,20,1,0.1
1780,1664,Undirected,1998,,,-1,20,1,0.1
1780,1714,Undirected,3139,,,1.475671188,460,13,29.9
1780,1731,Undirected,3417,,,-0.045757491,60,3,0.9
1780,1851,Undirected,4173,,,-0.045757491,60,3,0.9
1780,1719,Undirected,3239,,,1.475671188,460,13,29.9
1780,1732,Undirected,3445,,,0,100,2,1
1780,1613,Undirected,1322,,,2.07773118,1040,23,119.6
1780,1737,Undirected,3465,,,2.080626487,860,28,120.4
1780,1697,Undirected,2658,,,-1,20,1,0.1
1780,1648,Undirected,1763,,,-1,20,1,0.1
1780,1685,Undirected,2495,,,0.079181246,80,3,1.2
1780,1749,Undirected,3652,,,-1,20,1,0.1
1780,1757,Undirected,3805,,,0.079181246,80,3,1.2
1780,1533,Undirected,4184,,,-0.698970004,40,1,0.2
1780,1564,Undirected,700,,,-1,20,1,0.1
1780,1843,Undirected,4167,,,1.187520721,280,11,15.4
1780,1698,Undirected,2720,,,-1,20,1,0.1
1780,1673,Undirected,2256,,,-1,20,1,0.1
1780,1778,Undirected,4146,,,0.380211242,120,4,2.4
1780,1551,Undirected,310,,,2.058426024,880,26,114.4
1780,1798,Undirected,4158,,,-1,20,1,0.1
1780,1741,Undirected,3519,,,0.806179974,160,8,6.4
1780,1579,Undirected,932,,,0.62324929,140,6,4.2
1780,1833,Undirected,4164,,,2.658774321,1720,53,455.8
1780,1767,Undirected,4032,,,2.090610708,1120,22,123.2
1780,1795,Undirected,4160,,,1.526339277,480,14,33.6
1780,1674,Undirected,2304,,,-1,20,1,0.1
1780,1552,Undirected,388,,,0.77815125,200,6,6
1780,1889,Undirected,4169,,,-1,20,1,0.1
1780,1572,Undirected,813,,,1.193124598,260,12,15.6
1780,1911,Undirected,4181,,,0.397940009,100,5,2.5
1780,1859,Undirected,4161,,,0.944482672,220,8,8.8
1780,1641,Undirected,1664,,,-0.397940009,40,2,0.4
1780,1738,Undirected,3486,,,2.498310554,1400,45,315
1780,1916,Undirected,4183,,,-0.22184875,60,2,0.6
1780,1700,Undirected,2779,,,1.434568904,340,16,27.2
1780,1516,Undirected,4175,,,-1,20,1,0.1
1780,1704,Undirected,2851,,,-0.397940009,40,2,0.4
1780,1625,Undirected,1488,,,-1,20,1,0.1
1780,1801,Undirected,4171,,,0.255272505,120,3,1.8
1780,1594,Undirected,1120,,,2.522444234,1480,45,333
1780,1708,Undirected,2990,,,1.572871602,440,17,37.4
1780,1558,Undirected,506,,,-0.397940009,40,2,0.4
1780,1855,Undirected,4182,,,-0.397940009,40,2,0.4
1780,1707,Undirected,2939,,,-1,20,1,0.1
1780,1722,Undirected,3303,,,0.857332496,180,8,7.2
1780,1723,Undirected,3326,,,0.301029996,100,4,2
1780,1809,Undirected,4159,,,0.176091259,100,3,1.5
1780,1822,Undirected,4163,,,1.401400541,360,14,25.2
1780,1555,Undirected,445,,,-1,20,1,0.1
1780,1768,Undirected,4071,,,0.544068044,140,5,3.5
1780,1748,Undirected,3615,,,0.079181246,80,3,1.2
1780,1751,Undirected,3713,,,0.431363764,180,3,2.7
1780,1727,Undirected,3349,,,-0.397940009,40,2,0.4
1780,1744,Undirected,3552,,,0.77815125,200,6,6
1780,1763,Undirected,3915,,,1.113943352,260,10,13
1780,1746,Undirected,3588,,,0.84509804,200,7,7
1780,1761,Undirected,3888,,,-0.045757491,60,3,0.9
1780,1838,Undirected,4166,,,1.033423755,240,9,10.8
1780,1764,Undirected,3944,,,-0.397940009,40,2,0.4
1780,1570,Undirected,761,,,-0.522878745,60,1,0.3
1782,1628,Undirected,1549,,,0.079181246,80,3,1.2
1782,1820,Undirected,4188,,,2.57333584,1560,48,374.4
1782,1898,Undirected,4199,,,-0.397940009,40,2,0.4
1782,1720,Undirected,3270,,,0.397940009,100,5,2.5
1782,1909,Undirected,4202,,,-0.045757491,60,3,0.9
1782,1907,Undirected,4201,,,0.176091259,100,3,1.5
1782,1902,Undirected,4200,,,-1,20,1,0.1
1782,1738,Undirected,3488,,,-0.397940009,40,2,0.4
1782,1426,Undirected,4191,,,-1,20,1,0.1
1782,1851,Undirected,4196,,,-0.22184875,60,2,0.6
1782,1719,Undirected,3241,,,1.833784375,620,22,68.2
1782,1767,Undirected,4034,,,-0.045757491,60,3,0.9
1782,1855,Undirected,4205,,,-0.397940009,40,2,0.4
1782,1737,Undirected,3467,,,0.505149978,160,4,3.2
1782,1697,Undirected,2689,,,-0.397940009,40,2,0.4
1782,1648,Undirected,1764,,,1.113943352,260,10,13
1782,1757,Undirected,3807,,,-1,20,1,0.1
1782,1564,Undirected,702,,,0.505149978,160,4,3.2
1782,1698,Undirected,2732,,,-0.698970004,40,1,0.2
1782,1749,Undirected,3653,,,-0.045757491,60,3,0.9
1782,1741,Undirected,3521,,,-1,20,1,0.1
1782,1579,Undirected,934,,,1.783903579,640,19,60.8
1782,1833,Undirected,4193,,,1.677606953,560,17,47.6
1782,1792,Undirected,4185,,,-1,20,1,0.1
1782,1790,Undirected,4207,,,-0.397940009,40,2,0.4
1782,1796,Undirected,4187,,,-1,20,1,0.1
1782,1795,Undirected,4186,,,0.799340549,180,7,6.3
1782,1889,Undirected,4198,,,1.204119983,320,10,16
1782,1592,Undirected,1055,,,-1,20,1,0.1
1782,1911,Undirected,4203,,,-1,20,1,0.1
1782,1859,Undirected,4197,,,2.267171728,1000,37,185
1782,1912,Undirected,4204,,,-1,20,1,0.1
1782,1916,Undirected,4206,,,-1,20,1,0.1
1782,1551,Undirected,312,,,1.681241237,640,15,48
1782,1643,Undirected,1703,,,0.991226076,280,7,9.8
1782,1552,Undirected,390,,,-1,20,1,0.1
1782,1704,Undirected,2853,,,-1,20,1,0.1
1782,1625,Undirected,1490,,,-0.22184875,60,2,0.6
1782,1801,Undirected,4189,,,-1,20,1,0.1
1782,1707,Undirected,2941,,,1.276461804,420,9,18.9
1782,1708,Undirected,2992,,,-1,20,1,0.1
1782,1558,Undirected,508,,,1.271841607,340,11,18.7
1782,1714,Undirected,3141,,,0.73239376,180,6,5.4
1782,1722,Undirected,3305,,,0.204119983,80,4,1.6
1782,1723,Undirected,3328,,,0.995635195,220,9,9.9
1782,1809,Undirected,4190,,,1.130333768,300,9,13.5
1782,1822,Undirected,4192,,,0.995635195,220,9,9.9
1782,1843,Undirected,4195,,,2.621695462,1860,45,418.5
1782,1768,Undirected,4060,,,1.401400541,420,12,25.2
1782,1748,Undirected,3617,,,2.033423755,800,27,108
1782,1751,Undirected,3715,,,-1,20,1,0.1
1782,1727,Undirected,3351,,,-1,20,1,0.1
1782,1763,Undirected,3917,,,0.748188027,160,7,5.6
1782,1746,Undirected,3590,,,0.903089987,200,8,8
1782,1664,Undirected,2035,,,-1,20,1,0.1
1782,1838,Undirected,4194,,,0.204119983,80,4,1.6
1782,1772,Undirected,4099,,,-1,20,1,0.1
1783,1787,Undirected,4225,,,2.459392488,1600,36,288
1783,1908,Undirected,4217,,,-1,20,1,0.1
1783,1909,Undirected,4222,,,-1,20,1,0.1
1783,1606,Undirected,1226,,,-1,20,1,0.1
1783,1902,Undirected,4213,,,-1,20,1,0.1
1783,1775,Undirected,4127,,,0.556302501,120,6,3.6
1783,1738,Undirected,3489,,,-1,20,1,0.1
1783,1711,Undirected,3068,,,0.204119983,80,4,1.6
1783,1836,Undirected,4215,,,-0.397940009,40,2,0.4
1783,1770,Undirected,4085,,,-0.045757491,60,3,0.9
1783,1714,Undirected,3142,,,-1,20,1,0.1
1783,1719,Undirected,3223,,,-0.698970004,40,1,0.2
1783,1778,Undirected,4148,,,0.62324929,140,6,4.2
1783,1548,Undirected,192,,,-1,20,1,0.1
1783,1857,Undirected,4218,,,-1,20,1,0.1
1783,1759,Undirected,3836,,,0.903089987,200,8,8
1783,1757,Undirected,3808,,,1.230448921,340,10,17
1783,1753,Undirected,3760,,,0.204119983,80,4,1.6
1783,1752,Undirected,3742,,,1.62838893,500,17,42.5
1783,1799,Undirected,4211,,,0.556302501,120,6,3.6
1783,1798,Undirected,4210,,,0.982271233,240,8,9.6
1783,1504,Undirected,4221,,,-1,20,1,0.1
1783,1774,Undirected,4117,,,-1,20,1,0.1
1783,1792,Undirected,4208,,,1.991226076,700,28,98
1783,1790,Undirected,4227,,,0.748188027,160,7,5.6
1783,1796,Undirected,4209,,,1.866877814,640,23,73.6
1783,1919,Undirected,4228,,,-1,20,1,0.1
1783,1493,Undirected,4220,,,-1,20,1,0.1
1783,1763,Undirected,3918,,,-1,20,1,0.1
