Source,Target,Type,Id,Label,timeset,Weight,2,3,Calc Weight
1789,1821,Undirected,0,,,-1,20,1,0.1
1789,1783,Undirected,1,,,1.290034611,300,13,19.5
1789,1778,Undirected,2,,,1.92992956,740,23,85.1
1789,1722,Undirected,3,,,-1,20,1,0.1
1789,1902,Undirected,4,,,-1,20,1,0.1
1789,1892,Undirected,5,,,-1,20,1,0.1
1789,1775,Undirected,6,,,1.318063335,320,13,20.8
1789,1774,Undirected,7,,,0.397940009,100,5,2.5
1789,1711,Undirected,8,,,1.017033339,260,8,10.4
1789,1770,Undirected,9,,,-1,20,1,0.1
1789,1772,Undirected,10,,,0.959041392,260,7,9.1
1789,1732,Undirected,11,,,-1,20,1,0.1
1789,1779,Undirected,12,,,-1,20,1,0.1
1789,1613,Undirected,13,,,-0.045757491,60,3,0.9
1789,1500,Undirected,14,,,-1,20,1,0.1
1789,1759,Undirected,15,,,0.806179974,160,8,6.4
1789,1757,Undirected,16,,,2.290479813,1220,32,195.2
1789,1653,Undirected,17,,,-1,20,1,0.1
1789,1753,Undirected,18,,,-0.045757491,60,3,0.9
1789,1752,Undirected,19,,,0.556302501,120,6,3.6
1789,1798,Undirected,20,,,-0.045757491,60,3,0.9
1789,1833,Undirected,21,,,-1,20,1,0.1
1789,1792,Undirected,22,,,1.217483944,300,11,16.5
1789,1790,Undirected,23,,,0.431363764,180,3,2.7
1789,1861,Undirected,24,,,-1,20,1,0.1
1789,1674,Undirected,25,,,-1,20,1,0.1
1789,1763,Undirected,26,,,-1,20,1,0.1
1789,1666,Undirected,27,,,0.204119983,80,4,1.6
1789,1911,Undirected,28,,,-0.045757491,60,3,0.9
1789,1787,Undirected,29,,,-0.045757491,60,3,0.9
1789,1916,Undirected,30,,,-1,20,1,0.1
1789,1551,Undirected,31,,,-1,20,1,0.1
1789,1434,Undirected,32,,,-1,20,1,0.1
1789,1704,Undirected,33,,,-1,20,1,0.1
1789,1628,Undirected,34,,,-0.397940009,40,2,0.4
1789,1649,Undirected,35,,,-0.045757491,60,3,0.9
1789,1723,Undirected,36,,,-1,20,1,0.1
1789,1822,Undirected,37,,,-1,20,1,0.1
1789,1768,Undirected,38,,,0.397940009,100,5,2.5
1789,1819,Undirected,39,,,-0.397940009,40,2,0.4
1789,1760,Undirected,40,,,-0.045757491,60,3,0.9
1789,1761,Undirected,41,,,1.617000341,460,18,41.4
1789,1766,Undirected,42,,,0.681241237,160,6,4.8
1789,1767,Undirected,43,,,0.653212514,180,5,4.5
1789,1764,Undirected,44,,,0.204119983,80,4,1.6
1780,1782,Undirected,45,,,-0.22184875,60,2,0.6
1780,1783,Undirected,46,,,-0.397940009,40,2,0.4
1780,1774,Undirected,47,,,-1,20,1,0.1
1780,1837,Undirected,48,,,-1,20,1,0.1
1780,1772,Undirected,49,,,-1,20,1,0.1
1780,1838,Undirected,50,,,0.799340549,180,7,6.3
1780,1549,Undirected,51,,,-1,20,1,0.1
1780,1468,Undirected,52,,,-1,20,1,0.1
1780,1551,Undirected,53,,,0.556302501,120,6,3.6
1780,1798,Undirected,54,,,-1,20,1,0.1
1780,1795,Undirected,55,,,0.380211242,120,4,2.4
1780,1498,Undirected,56,,,0.204119983,80,4,1.6
1780,1700,Undirected,57,,,0.397940009,100,5,2.5
1780,1552,Undirected,58,,,1.260071388,280,13,18.2
1780,1555,Undirected,59,,,-0.522878745,60,1,0.3
1780,1709,Undirected,60,,,-0.045757491,60,3,0.9
1780,1821,Undirected,61,,,1.565847819,460,16,36.8
1780,1820,Undirected,62,,,0.301029996,100,4,2
1780,1822,Undirected,63,,,1.033423755,240,9,10.8
1780,1558,Undirected,64,,,1.36361198,420,11,23.1
1780,1666,Undirected,65,,,-0.397940009,40,2,0.4
1780,1665,Undirected,66,,,-0.397940009,40,2,0.4
1780,1482,Undirected,67,,,0.079181246,80,3,1.2
1780,1480,Undirected,68,,,-1,20,1,0.1
1780,1489,Undirected,69,,,-1,20,1,0.1
1780,1859,Undirected,70,,,-0.397940009,40,2,0.4
1780,1710,Undirected,71,,,-1,20,1,0.1
1780,1714,Undirected,72,,,0.69019608,140,7,4.9
1780,1719,Undirected,73,,,0.447158031,140,4,2.8
1780,1855,Undirected,74,,,-1,20,1,0.1
1780,1857,Undirected,75,,,0.62324929,140,6,4.2
1780,1522,Undirected,76,,,-0.397940009,40,2,0.4
1780,1833,Undirected,77,,,3.024567757,2860,74,1058.2
1780,1437,Undirected,78,,,0.556302501,120,6,3.6
1780,1431,Undirected,79,,,-1,20,1,0.1
1780,1843,Undirected,80,,,1.041392685,220,10,11
1780,1835,Undirected,81,,,1.73239376,900,12,54
1780,1722,Undirected,82,,,0.556302501,120,6,3.6
1780,1723,Undirected,83,,,-1,20,1,0.1
1780,1720,Undirected,84,,,0.397940009,100,5,2.5
1780,1439,Undirected,85,,,-1,20,1,0.1
1780,1533,Undirected,86,,,-0.045757491,60,3,0.9
1780,1532,Undirected,87,,,-0.522878745,60,1,0.3
1780,1539,Undirected,88,,,-1,20,1,0.1
1780,1909,Undirected,89,,,1.662757832,460,20,46
1780,1630,Undirected,90,,,-1,20,1,0.1
1780,1738,Undirected,91,,,2.387389826,1220,40,244
1780,1426,Undirected,92,,,-0.22184875,60,2,0.6
1780,1731,Undirected,93,,,-0.397940009,40,2,0.4
1780,1730,Undirected,94,,,-0.397940009,40,2,0.4
1780,1732,Undirected,95,,,0.301029996,100,4,2
1780,1737,Undirected,96,,,2.25163822,1020,35,178.5
1780,1585,Undirected,97,,,0,100,2,1
1780,1503,Undirected,98,,,-0.397940009,40,2,0.4
1780,1500,Undirected,99,,,-1,20,1,0.1
1780,1477,Undirected,100,,,-1,20,1,0.1
1780,1866,Undirected,101,,,-0.397940009,40,2,0.4
1780,1911,Undirected,102,,,-1,20,1,0.1
1780,1912,Undirected,103,,,-1,20,1,0.1
1780,1917,Undirected,104,,,-1,20,1,0.1
1780,1457,Undirected,105,,,-1,20,1,0.1
1780,1748,Undirected,106,,,-0.045757491,60,3,0.9
1780,1452,Undirected,107,,,-0.397940009,40,2,0.4
1780,1453,Undirected,108,,,-1,20,1,0.1
1780,1746,Undirected,109,,,0.62324929,140,6,4.2
1780,1516,Undirected,110,,,-1,20,1,0.1
1780,1458,Undirected,111,,,-0.397940009,40,2,0.4
1780,1741,Undirected,112,,,0.959041392,260,7,9.1
1780,1847,Undirected,113,,,-1,20,1,0.1
1780,1895,Undirected,114,,,0.397940009,100,5,2.5
1780,1890,Undirected,115,,,-1,20,1,0.1
1780,1815,Undirected,116,,,-0.397940009,40,2,0.4
1780,1697,Undirected,117,,,-1,20,1,0.1
1780,1471,Undirected,118,,,-1,20,1,0.1
1780,1443,Undirected,119,,,-0.698970004,40,1,0.2
1780,1560,Undirected,120,,,-0.397940009,40,2,0.4
1780,1563,Undirected,121,,,-1,20,1,0.1
1780,1752,Undirected,122,,,-0.698970004,40,1,0.2
1780,1698,Undirected,123,,,-0.698970004,40,1,0.2
1780,1567,Undirected,124,,,1.230448921,340,10,17
1780,1763,Undirected,125,,,-0.045757491,60,3,0.9
1780,1885,Undirected,126,,,-0.045757491,60,3,0.9
1780,1802,Undirected,127,,,-1,20,1,0.1
1780,1801,Undirected,128,,,1.670245853,520,18,46.8
1780,1800,Undirected,129,,,-0.22184875,60,2,0.6
1780,1604,Undirected,130,,,-1,20,1,0.1
1780,1809,Undirected,131,,,-1,20,1,0.1
1780,1579,Undirected,132,,,0.380211242,120,4,2.4
1780,1578,Undirected,133,,,-0.397940009,40,2,0.4
1780,1684,Undirected,134,,,-1,20,1,0.1
1780,1572,Undirected,135,,,-0.22184875,60,2,0.6
1780,1570,Undirected,136,,,-1,20,1,0.1
1780,1767,Undirected,137,,,-0.22184875,60,2,0.6
1780,1765,Undirected,138,,,-1,20,1,0.1
1782,1783,Undirected,139,,,-1,20,1,0.1
1782,1720,Undirected,140,,,-1,20,1,0.1
1782,1908,Undirected,141,,,-1,20,1,0.1
1782,1909,Undirected,142,,,-0.397940009,40,2,0.4
1782,1907,Undirected,143,,,-0.397940009,40,2,0.4
1782,1712,Undirected,144,,,-1,20,1,0.1
1782,1714,Undirected,145,,,0.204119983,80,4,1.6
1782,1731,Undirected,146,,,-1,20,1,0.1
1782,1719,Undirected,147,,,1.755874856,600,19,57
1782,1819,Undirected,148,,,-1,20,1,0.1
1782,1737,Undirected,149,,,-0.397940009,40,2,0.4
1782,1833,Undirected,150,,,0.62324929,140,6,4.2
1782,1567,Undirected,151,,,0.176091259,100,3,1.5
1782,1741,Undirected,152,,,-0.045757491,60,3,0.9
1782,1738,Undirected,153,,,-0.397940009,40,2,0.4
1782,1772,Undirected,154,,,-1,20,1,0.1
1782,1795,Undirected,155,,,-0.22184875,60,2,0.6
1782,1594,Undirected,156,,,0.556302501,180,4,3.6
1782,1866,Undirected,157,,,-1,20,1,0.1
1782,1911,Undirected,158,,,-1,20,1,0.1
1782,1859,Undirected,159,,,2.543571424,1520,46,349.6
1782,1916,Undirected,160,,,-1,20,1,0.1
1782,1551,Undirected,161,,,-0.397940009,40,2,0.4
1782,1552,Undirected,162,,,-1,20,1,0.1
1782,1643,Undirected,163,,,-1,20,1,0.1
1782,1801,Undirected,164,,,0.322219295,140,3,2.1
1782,1800,Undirected,165,,,-1,20,1,0.1
1782,1843,Undirected,166,,,-0.045757491,60,3,0.9
1782,1558,Undirected,167,,,-1,20,1,0.1
1782,1707,Undirected,168,,,0.84509804,200,7,7
1782,1722,Undirected,169,,,-0.397940009,40,2,0.4
1782,1820,Undirected,170,,,1.985875357,880,22,96.8
1782,1809,Undirected,171,,,0.255272505,120,3,1.8
1782,1822,Undirected,172,,,-1,20,1,0.1
1782,1748,Undirected,173,,,1.322219295,300,14,21
1782,1709,Undirected,174,,,-1,20,1,0.1
1782,1763,Undirected,175,,,-0.22184875,60,2,0.6
1782,1746,Undirected,176,,,-0.045757491,60,3,0.9
1782,1838,Undirected,177,,,0.079181246,80,3,1.2
1782,1764,Undirected,178,,,-1,20,1,0.1
1782,1574,Undirected,179,,,-1,20,1,0.1
1783,1592,Undirected,180,,,-1,20,1,0.1
1783,1787,Undirected,181,,,1.376576957,340,14,23.8
1783,1480,Undirected,182,,,-1,20,1,0.1
1783,1774,Undirected,183,,,0.477121255,120,5,3
1783,1892,Undirected,184,,,-1,20,1,0.1
1783,1775,Undirected,185,,,0.954242509,300,6,9
1783,1738,Undirected,186,,,-1,20,1,0.1
1783,1711,Undirected,187,,,0.857332496,180,8,7.2
1783,1831,Undirected,188,,,-1,20,1,0.1
1783,1770,Undirected,189,,,-0.22184875,60,2,0.6
1783,1772,Undirected,190,,,1.204119983,320,10,16
1783,1767,Undirected,191,,,0.556302501,180,4,3.6
1783,1819,Undirected,192,,,-1,20,1,0.1
1783,1697,Undirected,193,,,-0.22184875,60,2,0.6
1783,1759,Undirected,194,,,1.552668216,420,17,35.7
