Label,Degree,Day,Gender
1A,7,Day 1,M
3A,12,Day 1,M
3A,4,Day 1,M
1A,11,Day 1,M
1A,15,Day 1,F
4A,12,Day 1,F
1A,9,Day 1,F
4A,7,Day 1,M
4B,4,Day 1,M
1A,4,Day 1,F
1A,13,Day 1,F
3A,13,Day 1,M
1B,11,Day 1,M
1A,4,Day 1,F
4A,9,Day 1,M
4A,10,Day 1,M
1A,15,Day 1,Unknown
1B,19,Day 1,F
5A,8,Day 1,M
1B,19,Day 1,F
1B,21,Day 1,F
1B,12,Day 1,F
1B,21,Day 1,M
3B,14,Day 1,M
1A,6,Day 1,M
1A,10,Day 1,M
1A,15,Day 1,M
1B,23,Day 1,M
1A,3,Day 1,F
4A,13,Day 1,M
1A,6,Day 1,F
3A,10,Day 1,F
3B,13,Day 1,F
5A,7,Day 1,F
5A,12,Day 1,M
3A,4,Day 1,F
5A,13,Day 1,M
3B,10,Day 1,F
3B,15,Day 1,F
2B,10,Day 1,F
3B,12,Day 1,F
2B,14,Day 1,M
4A,17,Day 1,M
2B,11,Day 1,F
3B,11,Day 1,M
2B,18,Day 1,M
3B,21,Day 1,M
4B,11,Day 1,F
3A,6,Day 1,M
3A,12,Day 1,M
3B,12,Day 1,M
1B,20,Day 1,M
Teachers,5,Day 1,Unknown
1B,18,Day 1,M
1B,13,Day 1,M
1B,11,Day 1,M
1B,13,Day 1,F
1B,17,Day 1,F
1B,18,Day 1,F
5B,14,Day 1,M
2A,6,Day 1,F
5B,12,Day 1,F
5B,6,Day 1,M
Teachers,3,Day 1,Unknown
5B,13,Day 1,F
2B,5,Day 1,F
3B,6,Day 1,F
1A,15,Day 1,F
2B,2,Day 1,M
3A,11,Day 1,M
2B,16,Day 1,M
3A,10,Day 1,F
2B,11,Day 1,F
2B,2,Day 1,F
2B,12,Day 1,M
4B,10,Day 1,F
4A,4,Day 1,F
4A,9,Day 1,M
5A,12,Day 1,F
Teachers,1,Day 1,Unknown
5A,14,Day 1,M
Teachers,12,Day 1,Unknown
Teachers,10,Day 1,Unknown
1B,11,Day 1,M
2B,10,Day 1,F
4B,2,Day 1,M
3A,10,Day 1,M
4B,6,Day 1,F
4A,14,Day 1,M
5B,13,Day 1,F
5B,12,Day 1,F
5B,4,Day 1,M
2A,3,Day 1,F
2A,6,Day 1,F
5B,17,Day 1,F
3A,7,Day 1,M
3B,10,Day 1,F
4B,10,Day 1,F
3A,10,Day 1,F
3A,7,Day 1,M
3A,11,Day 1,F
5B,14,Day 1,M
3B,10,Day 1,M
4A,20,Day 1,M
4A,12,Day 1,M
4A,10,Day 1,Unknown
5A,12,Day 1,M
4A,11,Day 1,F
4A,11,Day 1,F
3B,7,Day 1,F
2B,5,Day 1,F
2B,6,Day 1,F
1B,18,Day 1,M
3A,12,Day 1,M
2A,6,Day 1,F
2A,3,Day 1,F
2A,9,Day 1,M
1B,9,Day 1,F
2B,5,Day 1,M
3A,7,Day 1,F
4B,6,Day 1,F
5B,8,Day 1,F
5A,4,Day 1,Unknown
5B,15,Day 1,F
5B,7,Day 1,M
3B,8,Day 1,M
2B,9,Day 1,M
3B,6,Day 1,M
3A,4,Day 1,M
5B,10,Day 1,M
5A,9,Day 1,F
4A,11,Day 1,F
4A,16,Day 1,M
5A,9,Day 1,F
4A,12,Day 1,F
1A,14,Day 1,M
2A,3,Day 1,F
3B,8,Day 1,F
2A,14,Day 1,M
4B,2,Day 1,M
2B,11,Day 1,F
5B,2,Day 1,F
2B,4,Day 1,M
4B,7,Day 1,M
5B,8,Day 1,M
2A,11,Day 1,M
2A,3,Day 1,F
1B,14,Day 1,M
2A,2,Day 1,F
2A,14,Day 1,M
5A,0,Day 1,F
1B,19,Day 1,F
5B,4,Day 1,M
2A,10,Day 1,M
5A,7,Day 1,F
2A,13,Day 1,M
5A,12,Day 1,F
3A,6,Day 1,M
5A,10,Day 1,F
5A,14,Day 1,M
5A,9,Day 1,F
3B,12,Day 1,F
Teachers,20,Day 1,Unknown
Teachers,4,Day 1,Unknown
5A,9,Day 1,M
5A,2,Day 1,M
3A,4,Day 1,M
2B,16,Day 1,F
5B,15,Day 1,M
4B,13,Day 1,M
5A,10,Day 1,M
2A,6,Day 1,F
2B,3,Day 1,F
4B,10,Day 1,F
2B,7,Day 1,F
2B,23,Day 1,M
4A,5,Day 1,F
4B,2,Day 1,M
4A,16,Day 1,F
4A,2,Day 1,Unknown
2A,3,Day 1,F
2A,4,Day 1,F
4B,3,Day 1,M
4B,8,Day 1,F
1B,10,Day 1,F
2A,5,Day 1,M
5B,15,Day 1,M
5B,11,Day 1,F
5B,1,Day 1,M
Teachers,14,Day 1,Unknown
1A,17,Day 1,F
3B,7,Day 1,F
5B,10,Day 1,F
Teachers,0,Day 1,Unknown
1A,13,Day 1,M
5A,5,Day 1,F
3B,17,Day 1,M
2B,4,Day 1,F
4A,19,Day 1,M
3A,7,Day 1,F
5B,6,Day 1,F
1B,22,Day 1,M
2B,13,Day 1,F
4B,5,Day 1,M
2B,7,Day 1,M
4B,7,Day 1,M
2B,6,Day 1,M
4B,5,Day 1,M
4B,3,Day 1,F
2A,4,Day 1,M
4B,8,Day 1,M
1A,17,Day 1,M
4B,3,Day 1,M
4B,9,Day 1,M
3A,8,Day 1,F
3B,7,Day 1,M
4B,1,Day 1,F
2A,5,Day 1,F
2A,8,Day 1,F
3A,7,Day 1,F
2A,5,Day 1,F
1B,10,Day 1,M
1B,14,Day 1,F
1A,6,Day 1,F
5B,17,Day 1,M
3B,13,Day 1,F
5A,13,Day 1,M
1B,7,Day 1,F
3B,5,Day 1,M
3A,10,Day 1,M
1A,6,Day 1,F
5A,5,Day 1,M
1A,14,Day 1,M
Teachers,8,Day 1,Unknown
1A,13,Day 1,M
1B,22,Day 1,F
1A,6,Day 2,M
3A,19,Day 2,M
3A,14,Day 2,M
1A,11,Day 2,M
1A,5,Day 2,F
4A,8,Day 2,F
1A,5,Day 2,F
3B,14,Day 2,F
4A,10,Day 2,M
4B,3,Day 2,M
1A,4,Day 2,F
1A,4,Day 2,F
3A,17,Day 2,M
1B,13,Day 2,M
1A,4,Day 2,F
4A,14,Day 2,M
4A,5,Day 2,M
1A,5,Day 2,Unknown
1B,18,Day 2,F
5A,18,Day 2,M
1B,10,Day 2,F
1B,20,Day 2,F
1B,11,Day 2,F
1B,20,Day 2,M
3B,21,Day 2,M
1A,2,Day 2,Unknown
1A,5,Day 2,M
1A,10,Day 2,M
1A,12,Day 2,M
1B,20,Day 2,M
1A,12,Day 2,F
4A,11,Day 2,M
1A,5,Day 2,F
3A,21,Day 2,F
3B,15,Day 2,F
5A,13,Day 2,F
5A,10,Day 2,M
3A,7,Day 2,F
5A,16,Day 2,M
3B,17,Day 2,F
3B,17,Day 2,F
2B,7,Day 2,F
3B,19,Day 2,F
2B,15,Day 2,M
4A,10,Day 2,M
2B,8,Day 2,F
3B,18,Day 2,M
2B,21,Day 2,M
3B,21,Day 2,M
4B,7,Day 2,F
3A,10,Day 2,M
3A,18,Day 2,M
3B,19,Day 2,M
1B,22,Day 2,M
Teachers,14,Day 2,Unknown
1B,17,Day 2,M
1B,14,Day 2,M
1B,22,Day 2,M
1B,16,Day 2,F
1B,14,Day 2,F
1B,6,Day 2,F
5B,11,Day 2,M
2A,22,Day 2,F
5B,12,Day 2,F
5B,11,Day 2,M
Teachers,3,Day 2,Unknown
5B,6,Day 2,F
2B,9,Day 2,F
3B,14,Day 2,F
1A,7,Day 2,F
2B,5,Day 2,M
2B,6,Day 2,F
3A,9,Day 2,M
2B,26,Day 2,M
3A,16,Day 2,F
2B,19,Day 2,F
2B,3,Day 2,F
2B,13,Day 2,M
4B,8,Day 2,F
4A,1,Day 2,F
4A,3,Day 2,M
5A,14,Day 2,F
Teachers,1,Day 2,Unknown
5A,9,Day 2,M
Teachers,4,Day 2,Unknown
Teachers,13,Day 2,Unknown
1B,12,Day 2,M
2B,18,Day 2,F
4B,2,Day 2,M
3A,20,Day 2,M
4B,5,Day 2,F
4B,3,Day 2,M
4A,11,Day 2,M
5B,19,Day 2,F
2A,21,Day 2,M
5B,5,Day 2,M
2A,15,Day 2,F
2A,8,Day 2,F
5B,11,Day 2,F
3A,17,Day 2,M
3B,13,Day 2,F
4B,5,Day 2,F
3A,13,Day 2,F
3A,4,Day 2,M
3A,11,Day 2,F
5B,10,Day 2,M
3B,14,Day 2,M
4A,13,Day 2,M
4A,10,Day 2,M
4A,8,Day 2,Unknown
4A,2,Day 2,F
4A,2,Day 2,F
3B,13,Day 2,F
2B,8,Day 2,F
2B,13,Day 2,F
1B,16,Day 2,M
3A,11,Day 2,M
2A,13,Day 2,F
2A,20,Day 2,F
2A,22,Day 2,M
1B,10,Day 2,F
2B,7,Day 2,M
3A,10,Day 2,F
4B,2,Day 2,F
5B,7,Day 2,F
5A,7,Day 2,Unknown
5B,9,Day 2,F
5B,9,Day 2,M
3B,13,Day 2,M
2B,10,Day 2,M
3A,10,Day 2,M
5B,11,Day 2,M
5A,8,Day 2,F
4A,15,Day 2,F
4A,9,Day 2,M
5A,10,Day 2,F
4A,7,Day 2,F
1A,10,Day 2,M
2A,2,Day 2,F
3B,13,Day 2,F
2A,18,Day 2,M
5B,7,Day 2,F
2B,14,Day 2,F
5B,9,Day 2,F
2B,4,Day 2,M
4B,6,Day 2,M
5B,13,Day 2,M
2A,23,Day 2,M
4B,4,Day 2,F
2A,10,Day 2,F
1B,16,Day 2,M
2A,10,Day 2,F
2A,20,Day 2,M
5A,4,Day 2,F
1B,20,Day 2,F
2A,26,Day 2,M
5A,12,Day 2,F
2A,18,Day 2,M
5A,21,Day 2,F
3A,13,Day 2,M
5A,7,Day 2,F
5A,18,Day 2,M
5A,8,Day 2,F
3B,13,Day 2,M
Teachers,19,Day 2,Unknown
Teachers,15,Day 2,Unknown
5A,11,Day 2,M
5A,26,Day 2,M
3A,10,Day 2,M
2B,11,Day 2,F
5B,10,Day 2,M
4B,13,Day 2,M
5A,11,Day 2,M
2A,17,Day 2,F
2B,12,Day 2,F
4B,6,Day 2,F
2B,4,Day 2,F
2B,21,Day 2,M
4A,1,Day 2,F
4A,6,Day 2,F
4A,5,Day 2,Unknown
2A,11,Day 2,F
2A,15,Day 2,F
4B,2,Day 2,M
4B,3,Day 2,F
1B,13,Day 2,F
2A,10,Day 2,M
5B,7,Day 2,M
5B,10,Day 2,F
5B,2,Day 2,M
1A,13,Day 2,F
3B,2,Day 2,M
3B,14,Day 2,F
5B,14,Day 2,F
Teachers,1,Day 2,Unknown
1A,5,Day 2,M
5A,11,Day 2,F
5B,3,Day 2,M
2B,9,Day 2,F
4A,6,Day 2,M
3A,22,Day 2,F
5B,7,Day 2,F
1B,15,Day 2,M
2B,22,Day 2,F
4B,3,Day 2,M
2B,17,Day 2,M
4B,4,Day 2,M
2B,5,Day 2,M
4B,5,Day 2,M
4B,2,Day 2,F
2A,12,Day 2,M
4B,9,Day 2,M
1A,11,Day 2,M
4B,1,Day 2,M
3A,13,Day 2,F
3B,21,Day 2,M
2A,15,Day 2,F
2A,16,Day 2,F
3A,9,Day 2,F
2A,20,Day 2,F
1B,13,Day 2,M
1B,12,Day 2,F
1A,16,Day 2,F
5B,7,Day 2,M
3B,17,Day 2,F
5A,17,Day 2,M
1B,9,Day 2,F
3B,14,Day 2,M
3A,13,Day 2,M
1A,1,Day 2,F
5A,7,Day 2,M
1A,6,Day 2,M
Teachers,19,Day 2,Unknown
1A,12,Day 2,M
1B,19,Day 2,F
